Asset,Name,Ticker,Date,Open,High,Low,Close,Volume
NVDA,NVIDIA Corporation,NVDA,2026-03-19,178.01,179.98,175.79,178.56,170968500
NVDA,NVIDIA Corporation,NVDA,2026-03-20,178.0,178.26,171.72,172.7,241323500
NVDA,NVIDIA Corporation,NVDA,2026-03-23,177.26,178.37,174.76,175.64,182836300
NVDA,NVIDIA Corporation,NVDA,2026-03-24,174.83,176.22,173.98,175.2,147667800
NVDA,NVIDIA Corporation,NVDA,2026-03-25,177.1,181.22,176.85,178.68,162602100
NVDA,NVIDIA Corporation,NVDA,2026-03-26,176.07,176.51,171.14,171.24,186152200
NVDA,NVIDIA Corporation,NVDA,2026-03-27,170.0,170.97,167.01,167.52,196212700
NVDA,NVIDIA Corporation,NVDA,2026-03-30,168.78,169.45,164.27,165.17,185627000
NVDA,NVIDIA Corporation,NVDA,2026-03-31,166.97,174.62,166.96,174.4,226181300
NVDA,NVIDIA Corporation,NVDA,2026-04-01,176.0,177.37,174.75,175.75,168132000
NVDA,NVIDIA Corporation,NVDA,2026-04-02,172.18,177.49,171.37,177.39,143143200
NVDA,NVIDIA Corporation,NVDA,2026-04-06,177.16,177.79,175.76,177.64,107564300
NVDA,NVIDIA Corporation,NVDA,2026-04-07,175.73,178.23,173.66,178.1,132534900
NVDA,NVIDIA Corporation,NVDA,2026-04-08,184.5,185.26,180.3,182.08,147732700
NVDA,NVIDIA Corporation,NVDA,2026-04-09,181.84,184.08,180.62,183.91,116428500
NVDA,NVIDIA Corporation,NVDA,2026-04-10,184.31,190.0,184.3,188.63,160459500
NVDA,NVIDIA Corporation,NVDA,2026-04-13,186.03,189.66,185.74,189.31,133648200
NVDA,NVIDIA Corporation,NVDA,2026-04-14,190.84,196.51,190.77,196.51,161307000
NVDA,NVIDIA Corporation,NVDA,2026-04-15,196.54,200.4,195.74,198.87,185338400
NVDA,NVIDIA Corporation,NVDA,2026-04-16,197.43,199.85,195.81,198.35,134012900
NVDA,NVIDIA Corporation,NVDA,2026-04-17,199.9,201.7,199.27,201.68,160324400
NVDA,NVIDIA Corporation,NVDA,2026-04-20,199.98,202.17,197.84,202.06,119381400
NVDA,NVIDIA Corporation,NVDA,2026-04-21,202.13,202.75,199.0,199.88,107945300
NVDA,NVIDIA Corporation,NVDA,2026-04-22,200.99,202.5,199.0,202.5,107501000
NVDA,NVIDIA Corporation,NVDA,2026-04-23,202.46,203.83,197.22,199.64,113561800
NVDA,NVIDIA Corporation,NVDA,2026-04-24,199.96,210.95,199.81,208.27,214134400
NVDA,NVIDIA Corporation,NVDA,2026-04-27,209.65,216.83,207.38,216.61,185608200
NVDA,NVIDIA Corporation,NVDA,2026-04-28,209.505,213.67,208.2,210.97,116346239
TSLA,Tesla Inc.,TSLA,2025-04-28,288.98,294.86,272.42,285.88,151731800
TSLA,Tesla Inc.,TSLA,2025-04-29,285.5,293.32,279.47,292.03,108906600
TSLA,Tesla Inc.,TSLA,2025-04-30,279.9,284.45,270.78,282.16,128961100
TSLA,Tesla Inc.,TSLA,2025-05-01,280.01,290.87,279.81,280.52,99659000
TSLA,Tesla Inc.,TSLA,2025-05-02,284.9,294.78,279.81,287.21,114454700
TSLA,Tesla Inc.,TSLA,2025-05-05,284.57,284.85,274.4,280.26,94618900
TSLA,Tesla Inc.,TSLA,2025-05-06,273.11,277.73,271.35,275.35,76715800
TSLA,Tesla Inc.,TSLA,2025-05-07,276.88,277.92,271.0,276.22,71592600
TSLA,Tesla Inc.,TSLA,2025-05-08,279.63,289.8,279.41,284.82,97539400
TSLA,Tesla Inc.,TSLA,2025-05-09,290.21,307.04,290.0,298.26,132387800
TSLA,Tesla Inc.,TSLA,2025-05-12,321.99,322.21,311.5,318.38,112826700
TSLA,Tesla Inc.,TSLA,2025-05-13,320.0,337.59,316.8,334.07,136992600
TSLA,Tesla Inc.,TSLA,2025-05-14,342.5,350.0,337.0,347.68,136997300
TSLA,Tesla Inc.,TSLA,2025-05-15,340.34,346.14,334.72,342.82,97882600
TSLA,Tesla Inc.,TSLA,2025-05-16,346.24,351.62,342.33,349.98,95895700
TSLA,Tesla Inc.,TSLA,2025-05-19,336.3,343.0,333.37,342.09,88869900
TSLA,Tesla Inc.,TSLA,2025-05-20,347.87,354.99,341.63,343.82,131715500
TSLA,Tesla Inc.,TSLA,2025-05-21,344.43,347.35,332.2,334.62,102354800
TSLA,Tesla Inc.,TSLA,2025-05-22,331.9,347.27,331.39,341.04,97113400
TSLA,Tesla Inc.,TSLA,2025-05-23,337.92,343.18,333.21,339.34,84654800
TSLA,Tesla Inc.,TSLA,2025-05-27,347.35,363.79,347.32,362.89,120146400
TSLA,Tesla Inc.,TSLA,2025-05-28,364.84,365.0,355.91,356.9,91404300
TSLA,Tesla Inc.,TSLA,2025-05-29,365.29,367.71,356.0,358.43,88087800
TSLA,Tesla Inc.,TSLA,2025-05-30,355.52,363.68,345.29,346.46,123474900
TSLA,Tesla Inc.,TSLA,2025-06-02,343.5,348.02,333.33,342.69,81873800
TSLA,Tesla Inc.,TSLA,2025-06-03,346.6,355.4,343.04,344.27,99324500
TSLA,Tesla Inc.,TSLA,2025-06-04,345.1,345.6,327.33,332.05,98912100
TSLA,Tesla Inc.,TSLA,2025-06-05,322.49,324.55,273.21,284.7,287499800
TSLA,Tesla Inc.,TSLA,2025-06-06,298.83,305.5,291.14,295.14,164747700
TSLA,Tesla Inc.,TSLA,2025-06-09,285.96,309.83,281.85,308.58,140908900
TSLA,Tesla Inc.,TSLA,2025-06-10,314.94,327.83,310.67,326.09,151256500
TSLA,Tesla Inc.,TSLA,2025-06-11,334.4,335.5,322.5,326.43,122611400
TSLA,Tesla Inc.,TSLA,2025-06-12,323.08,332.56,316.86,319.11,105127500
TSLA,Tesla Inc.,TSLA,2025-06-13,313.97,332.99,313.3,325.31,128964300
TSLA,Tesla Inc.,TSLA,2025-06-16,331.29,332.05,326.41,329.13,83925900
TSLA,Tesla Inc.,TSLA,2025-06-17,326.09,327.26,314.74,316.35,88282700
TSLA,Tesla Inc.,TSLA,2025-06-18,317.31,329.32,315.45,322.05,95137700
TSLA,Tesla Inc.,TSLA,2025-06-20,327.95,332.36,317.78,322.16,108688000
TSLA,Tesla Inc.,TSLA,2025-06-23,327.54,357.54,327.48,348.68,190716800
TSLA,Tesla Inc.,TSLA,2025-06-24,356.17,356.26,340.44,340.47,114736200
TSLA,Tesla Inc.,TSLA,2025-06-25,342.7,343.0,320.4,327.55,119845100
TSLA,Tesla Inc.,TSLA,2025-06-26,324.61,331.05,323.61,325.78,80440900
TSLA,Tesla Inc.,TSLA,2025-06-27,324.51,329.34,317.5,323.63,89067000
TSLA,Tesla Inc.,TSLA,2025-06-30,319.9,325.58,316.6,317.66,76695100
TSLA,Tesla Inc.,TSLA,2025-07-01,298.46,305.89,293.21,300.71,145085700
TSLA,Tesla Inc.,TSLA,2025-07-02,312.63,316.83,303.82,315.65,119483700
TSLA,Tesla Inc.,TSLA,2025-07-03,317.99,318.45,312.76,315.35,58042300
TSLA,Tesla Inc.,TSLA,2025-07-07,291.37,296.15,288.77,293.94,131177900
TSLA,Tesla Inc.,TSLA,2025-07-08,297.0,304.05,294.35,297.81,103246700
TSLA,Tesla Inc.,TSLA,2025-07-09,297.55,300.15,293.55,295.88,75586800
TSLA,Tesla Inc.,TSLA,2025-07-10,300.05,310.48,300.0,309.87,104365300
TSLA,Tesla Inc.,TSLA,2025-07-11,307.89,314.09,305.65,313.51,79236400
TSLA,Tesla Inc.,TSLA,2025-07-14,317.73,322.6,312.67,316.9,78043400
TSLA,Tesla Inc.,TSLA,2025-07-15,319.68,321.2,310.5,310.78,77556300
TSLA,Tesla Inc.,TSLA,2025-07-16,312.8,323.5,312.62,321.67,97284800
TSLA,Tesla Inc.,TSLA,2025-07-17,323.15,324.34,317.06,319.41,73922900
TSLA,Tesla Inc.,TSLA,2025-07-18,321.66,330.9,321.42,329.65,94255000
TSLA,Tesla Inc.,TSLA,2025-07-21,334.4,338.0,326.88,328.49,75768800
TSLA,Tesla Inc.,TSLA,2025-07-22,329.74,335.41,321.55,332.11,77370400
TSLA,Tesla Inc.,TSLA,2025-07-23,330.9,336.2,328.67,332.56,92553800
TSLA,Tesla Inc.,TSLA,2025-07-24,310.0,310.15,300.41,305.3,156966000
TSLA,Tesla Inc.,TSLA,2025-07-25,308.74,323.63,308.01,316.06,148227000
TSLA,Tesla Inc.,TSLA,2025-07-28,318.45,330.49,315.69,325.59,112673800
TSLA,Tesla Inc.,TSLA,2025-07-29,325.55,326.25,318.25,321.2,87358900
TSLA,Tesla Inc.,TSLA,2025-07-30,322.18,324.45,311.62,319.04,83931900
TSLA,Tesla Inc.,TSLA,2025-07-31,319.61,321.37,306.1,308.27,85270900
TSLA,Tesla Inc.,TSLA,2025-08-01,306.21,309.31,297.82,302.63,89121400
TSLA,Tesla Inc.,TSLA,2025-08-04,309.08,312.12,303.0,309.26,78683900
TSLA,Tesla Inc.,TSLA,2025-08-05,308.95,312.45,305.5,308.72,57961300
TSLA,Tesla Inc.,TSLA,2025-08-06,307.89,320.47,306.93,319.91,78523600
TSLA,Tesla Inc.,TSLA,2025-08-07,319.79,322.4,316.16,322.27,66658700
TSLA,Tesla Inc.,TSLA,2025-08-08,321.43,335.15,320.98,329.65,91200300
TSLA,Tesla Inc.,TSLA,2025-08-11,335.0,346.64,334.15,339.03,105320200
TSLA,Tesla Inc.,TSLA,2025-08-12,345.0,345.26,332.94,340.84,80522100
TSLA,Tesla Inc.,TSLA,2025-08-13,341.5,348.98,338.2,339.38,67838900
TSLA,Tesla Inc.,TSLA,2025-08-14,335.76,340.47,330.4,335.58,75000700
TSLA,Tesla Inc.,TSLA,2025-08-15,337.66,339.3,327.02,330.56,74319800
TSLA,Tesla Inc.,TSLA,2025-08-18,329.62,336.27,329.59,335.16,56956600
TSLA,Tesla Inc.,TSLA,2025-08-19,335.79,340.55,327.85,329.31,75956000
TSLA,Tesla Inc.,TSLA,2025-08-20,329.22,331.37,314.6,323.9,77481800
TSLA,Tesla Inc.,TSLA,2025-08-21,322.08,324.9,318.68,320.11,55744400
TSLA,Tesla Inc.,TSLA,2025-08-22,321.66,340.25,319.69,340.01,94016300
TSLA,Tesla Inc.,TSLA,2025-08-25,338.9,349.53,335.03,346.6,86670000
TSLA,Tesla Inc.,TSLA,2025-08-26,344.93,351.9,343.72,351.67,76651600
TSLA,Tesla Inc.,TSLA,2025-08-27,351.94,355.39,349.16,349.6,65519000
TSLA,Tesla Inc.,TSLA,2025-08-28,350.91,353.55,340.26,345.98,67903200
TSLA,Tesla Inc.,TSLA,2025-08-29,347.23,348.75,331.7,333.87,81145700
TSLA,Tesla Inc.,TSLA,2025-09-02,328.23,333.33,325.6,329.36,58392000
TSLA,Tesla Inc.,TSLA,2025-09-03,335.2,343.33,328.51,334.09,88733300
TSLA,Tesla Inc.,TSLA,2025-09-04,336.15,338.89,331.48,338.53,60711000
TSLA,Tesla Inc.,TSLA,2025-09-05,348.0,355.87,344.68,350.84,108989800
TSLA,Tesla Inc.,TSLA,2025-09-08,354.64,358.44,344.84,346.4,75208300
TSLA,Tesla Inc.,TSLA,2025-09-09,348.44,350.77,343.82,346.97,53816000
TSLA,Tesla Inc.,TSLA,2025-09-10,350.55,356.33,346.07,347.79,72121700
TSLA,Tesla Inc.,TSLA,2025-09-11,350.17,368.99,347.6,368.81,103756000
TSLA,Tesla Inc.,TSLA,2025-09-12,370.94,396.69,370.24,395.94,168156400
TSLA,Tesla Inc.,TSLA,2025-09-15,423.13,425.7,402.43,410.04,163823700
TSLA,Tesla Inc.,TSLA,2025-09-16,414.5,423.25,411.43,421.62,104285700
TSLA,Tesla Inc.,TSLA,2025-09-17,415.75,428.31,409.67,425.86,106133500
TSLA,Tesla Inc.,TSLA,2025-09-18,428.87,432.22,416.56,416.85,90454500
TSLA,Tesla Inc.,TSLA,2025-09-19,421.82,429.47,421.72,426.07,93131000
TSLA,Tesla Inc.,TSLA,2025-09-22,431.11,444.98,429.13,434.21,97108800
TSLA,Tesla Inc.,TSLA,2025-09-23,439.88,440.97,423.72,425.85,83422700
TSLA,Tesla Inc.,TSLA,2025-09-24,429.83,444.21,429.03,442.79,93133600
TSLA,Tesla Inc.,TSLA,2025-09-25,435.24,435.35,419.08,423.39,96746400
TSLA,Tesla Inc.,TSLA,2025-09-26,428.3,440.47,421.02,440.4,101628200
TSLA,Tesla Inc.,TSLA,2025-09-29,444.35,450.98,439.5,443.21,79491500
TSLA,Tesla Inc.,TSLA,2025-09-30,441.52,445.0,433.12,444.72,74358000
TSLA,Tesla Inc.,TSLA,2025-10-01,443.8,462.29,440.75,459.46,98122300
TSLA,Tesla Inc.,TSLA,2025-10-02,470.54,470.75,435.57,436.0,137009000
TSLA,Tesla Inc.,TSLA,2025-10-03,443.29,446.77,416.58,429.83,133188200
TSLA,Tesla Inc.,TSLA,2025-10-06,440.75,453.55,436.69,453.25,85324900
TSLA,Tesla Inc.,TSLA,2025-10-07,447.82,452.68,432.45,433.09,102296100
TSLA,Tesla Inc.,TSLA,2025-10-08,437.57,441.33,425.23,438.69,71192100
TSLA,Tesla Inc.,TSLA,2025-10-09,431.81,436.35,426.18,435.54,69339900
TSLA,Tesla Inc.,TSLA,2025-10-10,436.54,443.13,411.45,413.49,112107900
TSLA,Tesla Inc.,TSLA,2025-10-13,423.53,436.89,419.7,435.9,79552800
TSLA,Tesla Inc.,TSLA,2025-10-14,426.79,434.2,417.86,429.24,72669400
TSLA,Tesla Inc.,TSLA,2025-10-15,434.9,440.51,426.33,435.15,71558200
TSLA,Tesla Inc.,TSLA,2025-10-16,434.73,439.35,421.31,428.75,77189900
TSLA,Tesla Inc.,TSLA,2025-10-17,425.5,441.46,423.6,439.31,89331600
TSLA,Tesla Inc.,TSLA,2025-10-20,443.87,449.8,440.61,447.43,63719000
TSLA,Tesla Inc.,TSLA,2025-10-21,445.76,449.3,442.05,442.6,54412200
TSLA,Tesla Inc.,TSLA,2025-10-22,443.45,445.54,429.0,438.97,84023500
TSLA,Tesla Inc.,TSLA,2025-10-23,420.0,449.4,413.9,448.98,126709800
TSLA,Tesla Inc.,TSLA,2025-10-24,446.83,451.68,430.17,433.72,94727800
TSLA,Tesla Inc.,TSLA,2025-10-27,439.98,460.16,438.69,452.42,105867500
TSLA,Tesla Inc.,TSLA,2025-10-28,454.78,467.0,451.6,460.55,80185700
TSLA,Tesla Inc.,TSLA,2025-10-29,462.5,465.7,452.65,461.51,67983500
TSLA,Tesla Inc.,TSLA,2025-10-30,451.05,455.06,439.61,440.1,72447900
TSLA,Tesla Inc.,TSLA,2025-10-31,446.75,458.0,443.69,456.56,83135800
TSLA,Tesla Inc.,TSLA,2025-11-03,455.99,474.07,453.8,468.37,84595200
TSLA,Tesla Inc.,TSLA,2025-11-04,454.46,460.22,443.6,444.26,87756600
TSLA,Tesla Inc.,TSLA,2025-11-05,452.05,466.33,440.71,462.07,85573000
TSLA,Tesla Inc.,TSLA,2025-11-06,461.96,467.45,435.09,445.91,109622900
TSLA,Tesla Inc.,TSLA,2025-11-07,437.92,439.36,421.88,429.52,103471500
TSLA,Tesla Inc.,TSLA,2025-11-10,439.6,449.67,433.36,445.23,76515900
TSLA,Tesla Inc.,TSLA,2025-11-11,439.4,442.49,432.36,439.62,60533200
TSLA,Tesla Inc.,TSLA,2025-11-12,442.15,442.33,426.56,430.6,58513500
TSLA,Tesla Inc.,TSLA,2025-11-13,423.13,424.5,396.34,401.99,118948000
TSLA,Tesla Inc.,TSLA,2025-11-14,386.3,412.19,382.78,404.35,105506700
TSLA,Tesla Inc.,TSLA,2025-11-17,398.74,423.96,398.74,408.92,102214300
TSLA,Tesla Inc.,TSLA,2025-11-18,405.38,408.9,393.71,401.25,80688600
TSLA,Tesla Inc.,TSLA,2025-11-19,406.18,411.78,398.5,403.99,72047700
TSLA,Tesla Inc.,TSLA,2025-11-20,414.63,428.94,394.74,395.23,113548800
TSLA,Tesla Inc.,TSLA,2025-11-21,402.32,402.8,383.76,391.09,100460600
TSLA,Tesla Inc.,TSLA,2025-11-24,402.17,421.72,401.09,417.78,96806400
TSLA,Tesla Inc.,TSLA,2025-11-25,414.42,420.48,405.95,419.4,71915600
TSLA,Tesla Inc.,TSLA,2025-11-26,423.95,426.94,416.89,426.58,63463000
TSLA,Tesla Inc.,TSLA,2025-11-28,426.59,432.93,426.2,430.17,36252900
TSLA,Tesla Inc.,TSLA,2025-12-01,425.32,433.66,425.29,430.14,57463600
TSLA,Tesla Inc.,TSLA,2025-12-02,430.81,436.8,422.12,429.24,69336600
TSLA,Tesla Inc.,TSLA,2025-12-03,432.1,447.92,431.11,446.74,87483000
TSLA,Tesla Inc.,TSLA,2025-12-04,449.94,454.63,445.39,454.53,71906500
TSLA,Tesla Inc.,TSLA,2025-12-05,453.03,458.87,451.66,455.0,56427500
TSLA,Tesla Inc.,TSLA,2025-12-08,447.45,449.75,435.25,439.58,69165800
TSLA,Tesla Inc.,TSLA,2025-12-09,437.54,452.39,435.7,445.17,62367400
TSLA,Tesla Inc.,TSLA,2025-12-10,446.07,456.88,443.61,451.45,63257500
TSLA,Tesla Inc.,TSLA,2025-12-11,448.95,449.27,440.33,446.89,55979500
TSLA,Tesla Inc.,TSLA,2025-12-12,448.09,463.01,441.67,458.96,95656700
TSLA,Tesla Inc.,TSLA,2025-12-15,469.44,481.77,467.66,475.31,114542200
TSLA,Tesla Inc.,TSLA,2025-12-16,472.21,491.5,465.83,489.88,107608100
TSLA,Tesla Inc.,TSLA,2025-12-17,488.22,495.28,466.2,467.26,106490400
TSLA,Tesla Inc.,TSLA,2025-12-18,478.16,490.86,473.12,483.37,95168400
TSLA,Tesla Inc.,TSLA,2025-12-19,488.12,490.49,474.72,481.2,103305400
TSLA,Tesla Inc.,TSLA,2025-12-22,489.88,498.83,485.33,488.73,86916100
TSLA,Tesla Inc.,TSLA,2025-12-23,489.4,491.97,482.84,485.56,58223600
TSLA,Tesla Inc.,TSLA,2025-12-24,488.48,490.9,476.8,485.4,41285400
TSLA,Tesla Inc.,TSLA,2025-12-26,485.23,489.09,473.82,475.19,58780700
TSLA,Tesla Inc.,TSLA,2025-12-29,469.0,469.4,459.0,459.64,66263000
TSLA,Tesla Inc.,TSLA,2025-12-30,461.09,463.12,453.83,454.43,59238500
TSLA,Tesla Inc.,TSLA,2025-12-31,456.1,456.55,449.3,449.72,49078000
TSLA,Tesla Inc.,TSLA,2026-01-02,457.8,458.34,435.3,438.07,85535400
TSLA,Tesla Inc.,TSLA,2026-01-05,447.99,457.55,444.57,451.67,67940800
TSLA,Tesla Inc.,TSLA,2026-01-06,446.38,448.25,428.78,432.96,89093800
TSLA,Tesla Inc.,TSLA,2026-01-07,435.9,438.37,431.29,431.41,59828800
TSLA,Tesla Inc.,TSLA,2026-01-08,427.89,436.89,424.37,435.8,57041100
TSLA,Tesla Inc.,TSLA,2026-01-09,435.95,449.05,430.39,445.01,67331500
TSLA,Tesla Inc.,TSLA,2026-01-12,441.23,454.3,438.0,448.96,61649600
TSLA,Tesla Inc.,TSLA,2026-01-13,450.2,451.81,443.95,447.2,53719200
TSLA,Tesla Inc.,TSLA,2026-01-14,442.81,443.91,434.22,439.2,57259500
TSLA,Tesla Inc.,TSLA,2026-01-15,441.13,445.36,437.65,438.57,49465800
TSLA,Tesla Inc.,TSLA,2026-01-16,439.5,447.25,435.26,437.5,60220600
TSLA,Tesla Inc.,TSLA,2026-01-20,429.36,430.73,417.44,419.25,63187300
TSLA,Tesla Inc.,TSLA,2026-01-21,421.66,438.2,419.62,431.44,68124000
TSLA,Tesla Inc.,TSLA,2026-01-22,435.16,449.5,432.63,449.36,71546700
TSLA,Tesla Inc.,TSLA,2026-01-23,447.43,452.43,444.04,449.06,56771400
TSLA,Tesla Inc.,TSLA,2026-01-26,445.0,445.04,434.28,435.2,49397400
TSLA,Tesla Inc.,TSLA,2026-01-27,437.41,437.52,430.69,430.9,37733100
TSLA,Tesla Inc.,TSLA,2026-01-28,431.91,438.26,430.1,431.46,54857400
TSLA,Tesla Inc.,TSLA,2026-01-29,437.8,440.23,414.62,416.56,81686100
TSLA,Tesla Inc.,TSLA,2026-01-30,425.35,439.88,422.7,430.41,82626100
TSLA,Tesla Inc.,TSLA,2026-02-02,421.29,427.15,414.5,421.81,58739500
TSLA,Tesla Inc.,TSLA,2026-02-03,424.27,428.56,413.69,421.96,56886500
TSLA,Tesla Inc.,TSLA,2026-02-04,420.46,423.9,399.18,406.01,74606900
TSLA,Tesla Inc.,TSLA,2026-02-05,397.02,402.1,387.53,397.21,72819800
TSLA,Tesla Inc.,TSLA,2026-02-06,400.87,414.55,397.75,411.11,62677100
TSLA,Tesla Inc.,TSLA,2026-02-09,409.91,421.25,407.29,417.32,54484300
TSLA,Tesla Inc.,TSLA,2026-02-10,418.08,427.25,417.0,425.21,64450200
TSLA,Tesla Inc.,TSLA,2026-02-11,427.96,436.35,420.03,428.27,57362000
TSLA,Tesla Inc.,TSLA,2026-02-12,430.3,436.23,414.0,417.07,61933400
TSLA,Tesla Inc.,TSLA,2026-02-13,414.31,424.06,410.88,417.44,51434100
TSLA,Tesla Inc.,TSLA,2026-02-17,412.36,413.72,400.51,410.63,59678800
TSLA,Tesla Inc.,TSLA,2026-02-18,411.11,416.9,409.58,411.32,45921400
TSLA,Tesla Inc.,TSLA,2026-02-19,407.25,415.25,404.11,411.71,51019600
TSLA,Tesla Inc.,TSLA,2026-02-20,408.3,414.7,405.5,411.82,57912200
TSLA,Tesla Inc.,TSLA,2026-02-23,407.29,407.7,394.04,399.83,69680000
TSLA,Tesla Inc.,TSLA,2026-02-24,399.5,410.82,397.64,409.38,58579500
TSLA,Tesla Inc.,TSLA,2026-02-25,412.15,420.34,412.15,417.4,54809700
TSLA,Tesla Inc.,TSLA,2026-02-26,414.42,416.81,403.66,408.58,53602500
TSLA,Tesla Inc.,TSLA,2026-02-27,402.94,407.12,398.11,402.51,56890100
TSLA,Tesla Inc.,TSLA,2026-03-02,390.6,404.54,388.25,403.32,55088300
TSLA,Tesla Inc.,TSLA,2026-03-03,395.09,396.34,385.39,392.43,62617300
TSLA,Tesla Inc.,TSLA,2026-03-04,397.85,408.33,394.58,405.94,68305500
TSLA,Tesla Inc.,TSLA,2026-03-05,401.57,408.62,399.42,405.55,51925900
TSLA,Tesla Inc.,TSLA,2026-03-06,398.09,402.35,394.21,396.73,64054600
TSLA,Tesla Inc.,TSLA,2026-03-09,390.05,401.59,381.4,398.68,67018900
TSLA,Tesla Inc.,TSLA,2026-03-10,402.22,406.59,398.19,399.24,59258700
TSLA,Tesla Inc.,TSLA,2026-03-11,402.28,416.38,402.15,407.82,62559900
TSLA,Tesla Inc.,TSLA,2026-03-12,405.18,406.5,394.65,395.01,60973800
TSLA,Tesla Inc.,TSLA,2026-03-13,399.17,400.2,389.95,391.2,58504100
TSLA,Tesla Inc.,TSLA,2026-03-16,396.22,403.73,394.42,395.56,58068300
TSLA,Tesla Inc.,TSLA,2026-03-17,395.69,400.12,393.0,399.27,46890500
TSLA,Tesla Inc.,TSLA,2026-03-18,399.0,403.07,392.31,392.78,50853100
TSLA,Tesla Inc.,TSLA,2026-03-19,387.27,387.27,378.73,380.3,67078300
TSLA,Tesla Inc.,TSLA,2026-03-20,379.85,379.89,364.46,367.96,78628600
TSLA,Tesla Inc.,TSLA,2026-03-23,373.09,385.33,372.73,380.85,74606000
TSLA,Tesla Inc.,TSLA,2026-03-24,376.56,387.48,376.31,383.03,60004900
TSLA,Tesla Inc.,TSLA,2026-03-25,389.99,396.23,385.01,385.95,55157300
TSLA,Tesla Inc.,TSLA,2026-03-26,381.6,384.44,371.87,372.11,55522900
TSLA,Tesla Inc.,TSLA,2026-03-27,369.69,369.86,359.47,361.83,62065700
TSLA,Tesla Inc.,TSLA,2026-03-30,365.86,367.29,352.14,355.28,67954400
TSLA,Tesla Inc.,TSLA,2026-03-31,361.51,373.33,361.0,371.75,75534900
TSLA,Tesla Inc.,TSLA,2026-04-01,378.63,383.14,374.08,381.26,58683800
TSLA,Tesla Inc.,TSLA,2026-04-02,364.2,370.28,359.03,360.59,83031200
TSLA,Tesla Inc.,TSLA,2026-04-06,362.59,367.72,346.64,352.82,77697600
TSLA,Tesla Inc.,TSLA,2026-04-07,346.44,348.02,337.24,346.65,74515400
TSLA,Tesla Inc.,TSLA,2026-04-08,363.79,364.5,339.67,343.25,78838600
TSLA,Tesla Inc.,TSLA,2026-04-09,343.15,348.88,337.25,345.62,62164000
TSLA,Tesla Inc.,TSLA,2026-04-10,346.29,350.36,342.74,348.95,51336000
TSLA,Tesla Inc.,TSLA,2026-04-13,350.07,356.35,348.57,352.42,53617500
TSLA,Tesla Inc.,TSLA,2026-04-14,357.67,367.63,354.77,364.2,59979600
TSLA,Tesla Inc.,TSLA,2026-04-15,366.83,394.65,362.5,391.95,113810400
TSLA,Tesla Inc.,TSLA,2026-04-16,393.81,394.06,381.8,388.9,63515100
TSLA,Tesla Inc.,TSLA,2026-04-17,395.92,409.28,391.65,400.62,90640000
TSLA,Tesla Inc.,TSLA,2026-04-20,402.58,406.8,388.33,392.5,64603900
TSLA,Tesla Inc.,TSLA,2026-04-21,393.0,393.95,385.22,386.42,50530600
TSLA,Tesla Inc.,TSLA,2026-04-22,387.57,393.01,385.3,387.51,62362800
TSLA,Tesla Inc.,TSLA,2026-04-23,375.28,386.0,368.39,373.72,93969500
TSLA,Tesla Inc.,TSLA,2026-04-24,373.5,382.76,370.73,376.3,62893300
TSLA,Tesla Inc.,TSLA,2026-04-27,372.09,380.78,364.02,378.67,66583400
TSLA,Tesla Inc.,TSLA,2026-04-28,374.625,382.29,372.54,376.255,35282068
